Pair,Pearson,Pearson p-value,Spearman,Spearman p-value
feature_1 x feature_1,1.0,0.0,1.0,0.0
feature_1 x feature_2,0.2906112115750891,2.9988328784641066e-07,0.29068278536428177,2.9779119071153774e-07
feature_1 x feature_3,0.46989685040002116,6.965253243995167e-18,0.4170299669996333,4.725414062586242e-14
feature_1 x feature_4,0.17274023244805314,0.0026816169326918144,0.18641229346992746,0.001179650083974957
feature_1 x feature_5,0.4257279365002651,1.2275010265166701e-14,0.39885509838998207,6.98782333992905e-13
feature_1 x feature_6,0.13849199023382402,0.016380948883641472,0.1269800775564173,0.027871746153847167
feature_1 x feature_7,0.4198644074114476,3.058572996925572e-14,0.38883943154923944,2.878818922076706e-12
feature_1 x feature_8,0.19266914143469294,0.0007945645461899658,0.18351137234858164,0.0014109847399115447
feature_2 x feature_1,0.2906112115750891,2.9988328784641066e-07,0.29068278536428177,2.9779119071153774e-07
feature_2 x feature_2,0.9999999999999998,0.0,1.0,0.0
feature_2 x feature_3,0.2930508911634567,2.3596283765215163e-07,0.29680596451071684,1.6244018364037877e-07
feature_2 x feature_4,0.4468022804537282,3.970767870042842e-16,0.513015477949755,1.5374283636360311e-21
feature_2 x feature_5,0.34263709591928976,1.0918607103875902e-09,0.326165846287181,7.262641422561366e-09
feature_2 x feature_6,0.4009124954480065,5.193377425746447e-13,0.44857209524550273,2.944186438357228e-16
feature_2 x feature_7,0.2740304666951141,1.4421212254203102e-06,0.26805186724296937,2.4785712605628252e-06
feature_2 x feature_8,0.5304672977245398,3.574227316706596e-23,0.5779321992466583,3.9524253502332887e-28
feature_3 x feature_1,0.46989685040002116,6.965253243995167e-18,0.4170299669996333,4.725414062586242e-14
feature_3 x feature_2,0.2930508911634567,2.3596283765215163e-07,0.29680596451071684,1.6244018364037877e-07
feature_3 x feature_3,0.9999999999999999,0.0,1.0,0.0
feature_3 x feature_4,0.2508104341926496,1.1000885301721376e-05,0.25207346748297205,9.898261910980645e-06
feature_3 x feature_5,0.4881412655322454,2.2843266570812165e-19,0.47711374570828563,1.8467927630927812e-18
feature_3 x feature_6,0.1684515735571212,0.003428801062466484,0.17936999299992223,0.0018137681027137202
feature_3 x feature_7,0.42471404465850876,1.4392420722720004e-14,0.3882692029911443,3.1160163028692857e-12
feature_3 x feature_8,0.2630356452550027,3.865715409775527e-06,0.26384159823998043,3.6014688647885787e-06
feature_4 x feature_1,0.17274023244805314,0.0026816169326918144,0.18641229346992746,0.001179650083974957
feature_4 x feature_2,0.4468022804537282,3.970767870042842e-16,0.513015477949755,1.5374283636360311e-21
feature_4 x feature_3,0.2508104341926496,1.1000885301721376e-05,0.25207346748297205,9.898261910980645e-06
feature_4 x feature_4,0.9999999999999999,0.0,1.0,0.0
feature_4 x feature_5,0.1348999622956123,0.01941445074039878,0.13587084300936678,0.018549838167171328
feature_4 x feature_6,0.4343581202414216,3.0993838574545198e-15,0.49440993788819876,6.729578460285951e-20
feature_4 x feature_7,0.1993972016800777,0.0005123890139611068,0.1914683496483294,0.0008579864081467984
feature_4 x feature_8,0.4729672809050569,3.9748459705727416e-18,0.5015886843187146,1.609192034676426e-20
feature_5 x feature_1,0.4257279365002651,1.2275010265166701e-14,0.39885509838998207,6.98782333992905e-13
feature_5 x feature_2,0.34263709591928976,1.0918607103875902e-09,0.326165846287181,7.262641422561366e-09
feature_5 x feature_3,0.4881412655322454,2.2843266570812165e-19,0.47711374570828563,1.8467927630927812e-18
feature_5 x feature_4,0.1348999622956123,0.01941445074039878,0.13587084300936678,0.018549838167171328
feature_5 x feature_5,0.9999999999999997,0.0,1.0,0.0
feature_5 x feature_6,0.1388341264955518,0.016114879351115014,0.1030807008966766,0.07463380177390189
feature_5 x feature_7,0.376164036511856,1.6145846392451105e-11,0.36599295547728306,6.108416522229615e-11
feature_5 x feature_8,0.27446210660512427,1.3861272411436009e-06,0.2604206713407926,4.8563474907657285e-06
feature_6 x feature_1,0.13849199023382402,0.016380948883641472,0.1269800775564173,0.027871746153847167
feature_6 x feature_2,0.4009124954480065,5.193377425746447e-13,0.44857209524550273,2.944186438357228e-16
feature_6 x feature_3,0.1684515735571212,0.003428801062466484,0.17936999299992223,0.0018137681027137202
feature_6 x feature_4,0.4343581202414216,3.0993838574545198e-15,0.49440993788819876,6.729578460285951e-20
feature_6 x feature_5,0.1388341264955518,0.016114879351115014,0.1030807008966766,0.07463380177390189
feature_6 x feature_6,1.0,0.0,1.0,0.0
feature_6 x feature_7,0.13436917219295777,0.019901794505192347,0.118969766330737,0.0394622924262174
feature_6 x feature_8,0.43749037341101343,1.8624480597094086e-15,0.4667327414749053,1.2343477905650363e-17
feature_7 x feature_1,0.4198644074114476,3.058572996925572e-14,0.38883943154923944,2.878818922076706e-12
feature_7 x feature_2,0.2740304666951141,1.4421212254203102e-06,0.26805186724296937,2.4785712605628252e-06
feature_7 x feature_3,0.42471404465850876,1.4392420722720004e-14,0.3882692029911443,3.1160163028692857e-12
feature_7 x feature_4,0.1993972016800777,0.0005123890139611068,0.1914683496483294,0.0008579864081467984
feature_7 x feature_5,0.376164036511856,1.6145846392451105e-11,0.36599295547728306,6.108416522229615e-11
feature_7 x feature_6,0.13436917219295777,0.019901794505192347,0.118969766330737,0.0394622924262174
feature_7 x feature_7,0.9999999999999999,0.0,1.0,0.0
feature_7 x feature_8,0.26141181442518263,4.455332514697652e-06,0.2367826309181213,3.425790600985622e-05
feature_8 x feature_1,0.19266914143469294,0.0007945645461899658,0.18351137234858164,0.0014109847399115447
feature_8 x feature_2,0.5304672977245398,3.574227316706596e-23,0.5779321992466583,3.9524253502332887e-28
feature_8 x feature_3,0.2630356452550027,3.865715409775527e-06,0.26384159823998043,3.6014688647885787e-06
feature_8 x feature_4,0.4729672809050569,3.9748459705727416e-18,0.5015886843187146,1.609192034676426e-20
feature_8 x feature_5,0.27446210660512427,1.3861272411436009e-06,0.2604206713407926,4.8563474907657285e-06
feature_8 x feature_6,0.43749037341101343,1.8624480597094086e-15,0.4667327414749053,1.2343477905650363e-17
feature_8 x feature_7,0.26141181442518263,4.455332514697652e-06,0.2367826309181213,3.425790600985622e-05
feature_8 x feature_8,1.0,0.0,1.0,0.0
